id,date,lc,lon,lat,smaj,smin,eor
PS-R254-M-18,2019-01-09T13:17:15Z,A,73.42,-52.24,39494,2404,105
PS-R254-M-18,2019-01-09T13:17:37Z,B,73.5,-52.15,16542,3537,106
PS-R254-M-18,2019-01-09T13:46:35Z,A,73.39,-52.19,27165,959,70
PS-R254-M-18,2019-01-09T16:03:03Z,B,73.34,-52.27,22015,2219,80
PS-R254-M-18,2019-01-09T16:03:03Z,B,73.31,-52.25,18524,728,164
PS-R254-M-18,2019-01-09T16:41:07Z,B,73.29,-52.33,5351,1114,112
PS-R254-M-18,2019-01-09T17:09:58Z,B,73.28,-52.28,5035,3403,139
PS-R254-M-18,2019-01-09T17:41:46Z,B,73.25,-52.4,27263,1176,77
PS-R254-M-18,2019-01-09T17:42:05Z,B,73.25,-52.4,35521,1676,76
PS-R254-M-18,2019-01-09T21:55:47Z,B,73.24,-52.5,128866,895,93
PS-R254-M-18,2019-01-09T23:11:38Z,A,73.19,-52.51,85046,979,92
PS-R254-M-18,2019-01-10T02:00:02Z,B,73.19,-52.62,30019,701,106
PS-R254-M-18,2019-01-10T02:00:25Z,B,73.1,-52.67,7687,1872,119
PS-R254-M-18,2019-01-10T02:31:02Z,B,73,-52.58,16226,195,116
PS-R254-M-18,2019-01-10T03:02:47Z,B,72.97,-52.61,2278,1212,83
PS-R254-M-18,2019-01-10T03:02:47Z,B,73.02,-52.55,12626,76,103
PS-R254-M-18,2019-01-10T03:31:29Z,B,73.08,-52.54,21995,1790,105
PS-R254-M-18,2019-01-10T03:31:29Z,B,73.07,-52.52,58238,4633,105
PS-R254-M-18,2019-01-10T04:43:55Z,B,73.06,-52.59,46441,2918,63
PS-R254-M-18,2019-01-10T09:37:52Z,B,72.88,-52.68,37135,15462,84
PS-R254-M-18,2019-01-10T12:50:37Z,B,72.62,-52.89,219304,341,96
PS-R254-M-18,2019-01-10T12:50:57Z,B,73.1,-52.94,2094,442,61
PS-R254-M-18,2019-01-10T13:31:32Z,Z,73.29,-52.79,88614,4336,61
PS-R254-M-18,2019-01-10T14:05:22Z,0,73.09,-53.07,6897,363,58
PS-R254-M-18,2019-01-10T14:32:59Z,B,73.09,-53.12,7899,2742,81
PS-R254-M-18,2019-01-10T14:32:59Z,B,73.08,-53.09,8539,4862,163
PS-R254-M-18,2019-01-10T17:26:49Z,B,73.21,-53.26,1902,907,114
PS-R254-M-18,2019-01-10T17:26:49Z,0,73.22,-53.28,71835,1689,144
PS-R254-M-18,2019-01-10T18:33:02Z,B,73.23,-53.37,12070,4691,86
PS-R254-M-18,2019-01-10T19:06:11Z,B,73.23,-53.35,10152,1574,169
PS-R254-M-18,2019-01-10T19:59:56Z,B,73.26,-53.43,2381,1836,95
PS-R254-M-18,2019-01-10T22:40:48Z,B,73.3,-53.56,4327,2951,144
PS-R254-M-18,2019-01-10T23:15:43Z,B,73.37,-53.55,3958,1013,62
PS-R254-M-18,2019-01-10T23:29:12Z,B,73.4,-53.56,12160,2154,72
PS-R254-M-18,2019-01-11T00:01:27Z,B,73.49,-53.48,4854,2059,115
PS-R254-M-18,2019-01-11T00:01:27Z,B,73.42,-53.57,12487,2562,89
PS-R254-M-18,2019-01-11T00:28:54Z,A,73.36,-53.53,26925,2054,131
PS-R254-M-18,2019-01-11T03:20:34Z,B,73.59,-53.64,79133,920,112
PS-R254-M-18,2019-01-11T03:21:16Z,B,73.59,-53.64,61107,786,112
PS-R254-M-18,2019-01-11T04:56:06Z,B,73.46,-53.57,12613,846,72
PS-R254-M-18,2019-01-11T09:06:24Z,B,73.58,-53.62,12192,4466,85
