id,date,lc,lon,lat,smaj,smin,eor
F02-B-17,2017-10-07T23:46:08.338146Z,G,66.8580636080736,-46.8568625151589,,,
F02-B-17,2017-10-07T23:46:09.462692Z,G,66.858126965603,-46.8568603023334,,,
F02-B-17,2017-10-08T00:09:01.008512Z,G,66.8383572562655,-46.849937400979,,,
F02-B-17,2017-10-08T00:09:02.112791Z,G,66.8379807574051,-46.8498559525698,,,
F02-B-17,2017-10-08T00:09:23Z,B,66.2911,-46.798,71983,10638,97
F02-B-17,2017-10-08T00:10:03.830802Z,G,66.8378702636198,-46.8497732959615,,,
F02-B-17,2017-10-08T00:10:04.939819Z,G,66.8378285623356,-46.8499733633042,,,
F02-B-17,2017-10-08T00:30:47.147997Z,G,66.8180237066167,-46.8438879901862,,,
F02-B-17,2017-10-08T00:31:58.668058Z,G,66.818050371918,-46.8440728868104,,,
F02-B-17,2017-10-08T00:31:59.767378Z,G,66.8180646997185,-46.8439922256587,,,
F02-B-17,2017-10-08T00:55:40.614147Z,G,66.8010678584376,-46.8391268091907,,,
F02-B-17,2017-10-08T00:55:41.723043Z,G,66.801002600196,-46.8392148829184,,,
F02-B-17,2017-10-08T00:56:43.346034Z,G,66.8011617584731,-46.8390511971371,,,
F02-B-17,2017-10-08T00:56:49.624888Z,G,66.8011036122098,-46.8393073853576,,,
F02-B-17,2017-10-08T01:20:55.837411Z,G,66.7815980195441,-46.8333622773059,,,
F02-B-17,2017-10-08T01:20:58.451741Z,G,66.781657714659,-46.8333371619256,,,
F02-B-17,2017-10-08T01:22:16.180126Z,G,66.7811917371742,-46.8332977551931,,,
F02-B-17,2017-10-08T01:22:17.311854Z,G,66.7815730967872,-46.8332353841293,,,
F02-B-17,2017-10-08T01:47:36.416579Z,G,66.761538729725,-46.8269198203417,,,
F02-B-17,2017-10-08T01:48:39.143085Z,G,66.7614665040696,-46.8273548760133,,,
F02-B-17,2017-10-08T01:48:40.215318Z,G,66.7610193075188,-46.8273859051499,,,
F02-B-17,2017-10-08T02:14:40.645267Z,G,66.7403443897843,-46.822083355008,,,
F02-B-17,2017-10-08T02:15:50.273093Z,G,66.7402285490643,-46.8218694883128,,,
F02-B-17,2017-10-08T02:15:51.419305Z,G,66.7405191495847,-46.821480739957,,,
F02-B-17,2017-10-08T02:42:35.269527Z,G,66.7210406457573,-46.8168478229785,,,
F02-B-17,2017-10-08T02:42:39.175491Z,G,66.7196342752669,-46.8167657952653,,,
F02-B-17,2017-10-08T02:44:04.737529Z,G,66.7208345530027,-46.8164156780304,,,
F02-B-17,2017-10-08T02:44:07.072419Z,G,66.7208666967062,-46.8169705959233,,,
F02-B-17,2017-10-08T03:11:18.738815Z,G,66.7037696076594,-46.8098364131346,,,
F02-B-17,2017-10-08T03:12:27.180840Z,G,66.7037575857229,-46.8098826119984,,,
F02-B-17,2017-10-08T03:12:28.303726Z,G,66.7037266371597,-46.8095690553454,,,
F02-B-17,2017-10-08T03:40:38.230750Z,G,66.6885042118941,-46.8036612048991,,,
F02-B-17,2017-10-08T03:40:39.254442Z,G,66.6872831586862,-46.8044912159675,,,
F02-B-17,2017-10-08T03:41:52.958951Z,G,66.6890942361289,-46.8028930488861,,,
F02-B-17,2017-10-08T04:06:57.260628Z,G,66.6721960572797,-46.8001576175786,,,
F02-B-17,2017-10-08T04:07:01.289443Z,G,66.6718481801012,-46.80008867858,,,
F02-B-17,2017-10-08T04:08:04.711509Z,G,66.6718720787937,-46.8000724968599,,,
F02-B-17,2017-10-08T04:08:05.825776Z,G,66.6716458871116,-46.8005439748761,,,
F02-B-17,2017-10-08T04:33:47.805001Z,G,66.6554923011461,-46.7959279762976,,,
F02-B-17,2017-10-08T04:33:52.846997Z,G,66.6553117061754,-46.7961229198526,,,
F02-B-17,2017-10-08T05:01:53.270572Z,G,66.640049961433,-46.7903602503026,,,
F02-B-17,2017-10-08T05:25:03.548416Z,G,66.6266040754417,-46.7894728479805,,,
F02-B-17,2017-10-08T05:25:04.666555Z,G,66.6266629555884,-46.7896541530776,,,
F02-B-17,2017-10-08T05:26:15.354363Z,G,66.6270185197538,-46.789713732466,,,
F02-B-17,2017-10-08T05:51:07.343042Z,G,66.6106650334126,-46.7842491074707,,,
F02-B-17,2017-10-08T05:51:08.467166Z,G,66.6104109196252,-46.7840836357244,,,
F02-B-17,2017-10-08T05:52:11.750448Z,G,66.6111869041603,-46.7842287997073,,,
F02-B-17,2017-10-08T05:52:14.679329Z,G,66.6106933936252,-46.784296316992,,,
F02-B-17,2017-10-08T06:17:55.575327Z,G,66.5954101423123,-46.7771418736788,,,
F02-B-17,2017-10-08T06:17:56.660163Z,G,66.5949861226828,-46.7768630534339,,,
F02-B-17,2017-10-08T06:19:22.389461Z,G,66.5951505722851,-46.7771444267758,,,
F02-B-17,2017-10-08T06:19:23.510094Z,G,66.5950785526929,-46.7770350854359,,,
F02-B-17,2017-10-08T06:44:28.018741Z,G,66.5803626468552,-46.7703845403939,,,
F02-B-17,2017-10-08T06:44:30.224895Z,G,66.5804784303175,-46.7704226106258,,,
F02-B-17,2017-10-08T06:45:52.762337Z,G,66.580533717967,-46.7703534435642,,,
F02-B-17,2017-10-08T06:45:53.884500Z,G,66.5806989378898,-46.7703991652696,,,
F02-B-17,2017-10-08T07:10:54.749664Z,G,66.5674445025378,-46.7624231083008,,,
F02-B-17,2017-10-08T07:10:58.553878Z,G,66.5666278687608,-46.7628047850831,,,
F02-B-17,2017-10-08T07:12:04.140336Z,G,66.5657021867535,-46.7630161396968,,,
